"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"Liberal Party","Canadian citizen",19,"A woman","Some university","Student and working for pay",30000,"Never Married","Ontario"
"ndp","Canadian citizen",19,"A woman","Completed secondary/ high school","Working for pay part-time",13000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",19,"A man","Completed secondary/ high school","Student and working for pay",55000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",24,"A man","Some university","Student",1e+06,"Never Married","Ontario"
"Liberal Party","Canadian citizen",19,"A woman","Completed secondary/ high school","Student",190000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",20,"A man","Completed secondary/ high school","Working for pay part-time",10000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",24,"A woman","Some university","Working for pay part-time",40000,"Living with a partner","Ontario"
"Green Party","Canadian citizen",21,"A woman","Some university","Working for pay part-time",30000,"Never Married","Ontario"
"ndp","Canadian citizen",19,"A woman","Some university","Working for pay part-time",65000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",21,"A woman","Completed secondary/ high school","Self employed (with or without employees)",70000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",20,"A man","Some university","Working for pay full-time",15000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",20,"A woman","Some university","Working for pay full-time",27000,"Never Married","Ontario"
"ndp","Canadian citizen",22,"A man","Some university","Student and working for pay",68000,"Never Married","Ontario"
"ndp","Canadian citizen",19,"A woman","Completed secondary/ high school","Student and working for pay",25000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",20,"A woman","Completed secondary/ high school","Working for pay part-time",6e+05,"Never Married","Ontario"
"Liberal Party","Canadian citizen",21,"A woman","Completed secondary/ high school","Self employed (with or without employees)",11000,"Never Married","Ontario"
"Another party (please specify)","Canadian citizen",22,"A man","Some university","Working for pay full-time",45000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",63,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",20000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",59,"A man","Bachelor's degree","Retired",75000,"Married","British Columbia"
"Liberal Party","Canadian citizen",60,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",2e+05,"Married","Ontario"
"ndp","Canadian citizen",63,"A man","Professional degree or doctorate","Working for pay full-time",210000,"Married","Ontario"
"Liberal Party","Canadian citizen",29,"A woman","Bachelor's degree","Working for pay full-time",50000,"Living with a partner","Ontario"
"Green Party","Canadian citizen",57,"A woman","Some technical, community college, CEGEP, College Classique","Disabled",14000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",65,"A man","Bachelor's degree","Retired",150000,"Married","Alberta"
"Liberal Party","Canadian citizen",65,"A man","Bachelor's degree","Working for pay part-time",65000,"Married","British Columbia"
"Green Party","Canadian citizen",41,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",150000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",62,"A man","Bachelor's degree","Retired",75000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",42,"A man","Bachelor's degree","Working for pay full-time",60000,"Married","Alberta"
"Liberal Party","Canadian citizen",32,"A man","Bachelor's degree","Working for pay full-time",1e+05,"Living with a partner","Ontario"
"Bloc Québécois","Canadian citizen",67,"A man","Master's degree","Retired",65000,"Married","Quebec"
"Green Party","Canadian citizen",37,"A man","Completed secondary/ high school","Self employed (with or without employees)",22000,"Living with a partner","Ontario"
